CodeDANE,year,Code.DANE.year,population,min_masl,Coca,Forest,Mining,Fire,Deforest,rMisery,uMisery,HFP,cases,sir
54498,2008,544982008,92866,500,0,6.371866295,0.034818942,0.047619327,0.316600793,4.149968831,1.511433801,7.700165614,2,0.028823957
25290,2009,252902009,118955,500,0,3.642384106,0.082781457,0.120501401,0,0.982004885,0.274193548,12.02371922,3,0.023113343
25290,2011,252902011,124110,500,0,3.559602649,0.082781457,0.120501401,0,0.982004885,0.274193548,11.94708709,3,0.038047195
25290,2010,252902010,121535,500,0,2.566225166,0.082781457,0.120501401,0,0.982004885,0.274193548,11.61654712,3,0.024452531
41132,2009,411322009,33146,500,0,10.72033898,0.084745763,1.191883094,0,2.034405385,2.269521734,7.501050681,1,0.036363968
73001,2010,730012010,526547,500,0,24.52803204,0.143020595,0.01810676,0.261679272,3.137279959,0.370387978,8.399923155,19,0.027663992
73001,2009,730012009,521008,500,0,25.32894737,0.143020595,0.036213521,0.357335607,3.137279959,0.370387978,8.501966083,20,0.038233182
73001,2008,730012008,515458,500,0,25.65789474,0.143020595,0.01810676,0.156073788,3.137279959,0.370387978,8.500671492,20,0.056551403
41615,2018,416152018,24312,500,0,32.33995585,0.055187638,0.074311294,0,1.59375,1.474051461,8.228226617,1,0.055114863
73001,2007,730012007,509840,500,0,25.74370709,0.143020595,0.01810676,0.32165207,3.137279959,0.370387978,8.412516916,24,0.120369885
41615,2010,416152010,17761,500,0,33.66445916,0.055187638,0.074311294,0,1.59375,1.474051461,7.817038607,1,0.036209747
73067,2007,730672007,22029,500,0,1.13458529,0.234741784,0.847568445,0,11.36211138,6.888657648,5.530509172,1,0.130777271
19450,2010,194502010,17862,500,0.1963,0.028441411,0.085324232,0.035821956,0,3.256474702,5.534924845,5.623749789,2,0.036562065
19450,2011,194502011,17899,500,0.60181,0.028441411,0.085324232,0.035821956,0,3.256474702,5.534924845,5.626657828,1,0.057980271
19450,2013,194502013,17977,500,0.03009,0.028441411,0.085324232,0.035821956,0,3.256474702,5.534924845,5.654847999,1,0.070431815
19450,2012,194502012,17937,500,0.02436,0.028441411,0.085324232,0.143287823,0,3.256474702,5.534924845,5.664268877,1,0.059447145
19450,2015,194502015,18061,500,0.13621,0.028441411,0.085324232,0.823904982,0,3.256474702,5.534924845,5.724863541,1,0.069789671
73067,2009,730672009,22129,500,0,1.017214397,0.234741784,0.299141804,0,11.36211138,6.888657648,5.569230795,2,0.051544079
5670,2014,56702014,16937,500,0,8.057491289,0.958188153,0.05868247,0.441029967,2.874849372,0.309849967,7.694934413,1,0.090673093
5670,2017,56702017,16520,500,0,12.41289199,0.958188153,0.05868247,1.189183368,2.874849372,0.309849967,7.736750418,1,0.076162733
5670,2009,56702009,17624,500,0,8.275261324,0.958188153,0.05868247,0.341946312,2.874849372,0.309849967,7.605368279,1,0.052226506
73067,2011,730672011,22243,500,0,0.743348983,0.234741784,0.024928484,0,11.36211138,6.888657648,5.565725067,1,0.061231632
52786,2010,527862010,18775,500,0,0.079617834,0.079617834,0.106586372,0,2.654415518,0.902132313,6.166285002,1,0.041438598
52786,2013,527862013,19819,500,0,0.079617834,0.079617834,0.106586372,0,2.654415518,0.902132313,6.216318794,1,0.083021961
52786,2019,527862019,17866,500,0,0.079617834,0.079617834,0.106586372,0,2.654415518,0.902132313,6.390471537,4,0.069508141
5093,2018,50932018,15607,500,0,6.836461126,0.201072386,0.090163067,0.447704719,2.6957638,1.441268316,7.529866082,1,0.090133279
5093,2009,50932009,17082,500,0,5.831099196,0.201072386,0.090163067,0.627780893,2.6957638,1.441268316,7.40218142,2,0.069103379
5093,2010,50932010,17164,500,0,5.294906166,0.201072386,0.090163067,0.310714256,2.6957638,1.441268316,7.337112567,2,0.050970972
5093,2012,50932012,17317,500,0,5.227882038,0.201072386,0.090163067,0.528628521,2.6957638,1.441268316,7.464998652,1,0.083404814
41132,2010,411322010,33361,500,0,11.18644068,0.084745763,0.108353009,0,2.034405385,2.269521734,7.477013361,2,0.053231946
5197,2018,51972018,15444,500,0,19.68085106,0.075987842,0.110813664,0,2.17614219,0.928113399,7.39445752,2,0.097087848
5761,2017,57612017,14936,500,0,5.387205387,0.673400673,0.116384581,0,2.705300742,0.217831025,8.820757894,1,0.109514465
5761,2008,57612008,13816,500,0,3.61952862,0.673400673,0.116384581,0,2.705300742,0.217831025,8.310126484,1,0.103523815
50318,2014,503182014,9322,500,0,32.90978399,0.031766201,0.041426146,0,1.919518964,0.725170783,3.898280156,1,0.142458339
25878,2009,258782009,13408,500,0,27.81690141,0.088028169,0.122661726,0,2.830643219,2.431539188,7.926680877,1,0.082031175
25878,2010,258782010,13403,500,0,23.5915493,0.088028169,0.122661726,0,2.830643219,2.431539188,7.12945654,1,0.060645799
50318,2010,503182010,9147,500,0,35.83227446,0.031766201,0.041426146,0,1.919518964,0.725170783,3.665120704,1,0.062567087
25878,2012,258782012,13370,500,0,20.24647887,0.088028169,0.122661726,0,2.830643219,2.431539188,8.034625099,1,0.103424027
73352,2009,733522009,11430,500,0,11.23310811,0.084459459,0.117031588,0,3.179841008,1.207729469,7.824846045,1,0.087520457
73352,2010,733522010,11365,500,0,9.375,0.084459459,0.117031588,0,3.179841008,1.207729469,7.643029679,1,0.064724672
41524,2008,415242008,28701,500,0,5.288028803,0.090009001,0.028846026,0,1.541797157,2.215000428,7.569772596,2,0.12301576
25035,2011,250352011,12539,500,0,0.546448087,0.136612022,0.20233245,0,1.871500147,0.711077844,10.58068702,1,0.107087334
25035,2010,250352010,12354,500,0,0.546448087,0.136612022,0.20233245,0,1.871500147,0.711077844,10.62619874,1,0.067952629
50400,2017,504002017,9342,500,0,53.21898496,0.070488722,0.030299598,0.075100157,5.288541493,1.20886501,3.036807405,1,0.137929225
50400,2016,504002016,9374,500,0,53.71240602,0.070488722,0.030299598,0.031175406,5.288541493,1.20886501,3.055047944,2,0.098499635
50400,2015,504002015,9403,500,0,53.64191729,0.070488722,0.030299598,0.007444873,5.288541493,1.20886501,3.107707602,1,0.133521617
50400,2020,504002020,11162,500,0,50.7518797,0.070488722,0.030299598,0.084778492,5.288541493,1.20886501,3.039136582,1,0.104606372
15480,2008,154802008,9916,500,0,12.93532338,0.124378109,0.181729267,0,6.585458698,3.52455943,7.358866007,3,0.133799589
50400,2012,504002012,9478,500,0,50.98684211,0.070488722,0.030299598,0.053603086,5.288541493,1.20886501,3.175799574,1,0.115978184
19450,2018,194502018,22688,500,0.03602,0.056882821,0.085324232,0.286575646,0,3.256474702,5.534924845,5.706356249,2,0.128714919
25035,2007,250352007,11825,500,0,0.819672131,0.136612022,0.20233245,0,1.871500147,0.711077844,10.32993162,1,0.256838786
19450,2017,194502017,18151,500,0.18132,0.028441411,0.085324232,0.214931734,0,3.256474702,5.534924845,5.720850249,2,0.146115197
15480,2009,154802009,9795,500,0,13.1840796,0.124378109,0.181729267,0,6.585458698,3.52455943,7.484009314,1,0.099222732
5670,2018,56702018,21519,500,0,12.89198606,0.958188153,0.05868247,0.676712648,2.874849372,0.309849967,7.736844989,2,0.134274315
5670,2019,56702019,21533,500,0,13.67595819,0.958188153,0.05868247,0.479442834,2.874849372,0.309849967,7.822985293,2,0.1119578
73067,2008,730672008,22077,500,0,1.056338028,0.234741784,0.024928484,0,11.36211138,6.888657648,5.538469608,2,0.140252213
5483,2016,54832016,17486,500,0,34.12790698,0.755813953,0.079034859,0,2.1167634,1.276906239,5.118400371,1,0.107851643
5483,2017,54832017,17686,500,0,32.6744186,0.755813953,0.079034859,0,2.1167634,1.276906239,5.124677511,1,0.157677725
5483,2018,54832018,10153,500,0,34.53488372,0.755813953,0.079034859,0,2.1167634,1.276906239,5.12668059,2,0.141908478
54051,2008,540512008,9124,500,0,50.28501629,0.081433225,0.054530669,0,9.368803701,0.975609756,3.133107605,1,0.14949524
54051,2016,540512016,8972,500,0,46.57980456,0.081433225,0.054530669,0,9.368803701,0.975609756,3.112359176,1,0.114011536
5483,2019,54832019,9997,500,0,37.44186047,0.755813953,0.079034859,0,2.1167634,1.276906239,5.28461587,2,0.119934179
5483,2020,54832020,9947,500,0,37.09302326,0.755813953,0.079034859,0,2.1167634,1.276906239,5.259549375,2,0.120053172
